"","freq","prev","p.freq","p.prev","p","contaminant"
"GOLT",0.000841187325839647,50,NA,0.54945054945055,0.54945054945055,FALSE
"GPC",0.000619652449735468,42,NA,0.856410256410256,0.856410256410256,FALSE
"GRD",0.000820812776983473,45,NA,0.494505494505495,0.494505494505495,TRUE
"GRM",0.00103744402504252,48,NA,0.88974358974359,0.88974358974359,FALSE
"HASF",0.00112433371800905,49,NA,0.894871794871795,0.894871794871795,FALSE
"HDEA",0.000248086996486034,12,NA,0.623809523809524,0.623809523809524,FALSE
"HDEB",0.000500271753086545,9,NA,0.594505494505495,0.594505494505495,FALSE
"HERA",0.000302775875379806,20,NA,0.696581196581197,0.696581196581197,FALSE
"HLYD",0.000617957053201212,46,NA,0.879120879120879,0.879120879120879,FALSE
"HMB",7.34136815066188e-05,4,NA,0.543223443223443,0.543223443223443,FALSE
"HMRR",0.000749066713846734,39,NA,0.838095238095238,0.838095238095238,FALSE
"HNS",0.000348190965378266,35,NA,0.384615384615385,0.384615384615385,TRUE
"HOXN",0.000251403950777008,35,NA,0.811965811965812,0.811965811965812,FALSE
"HPCOPA",6.02869597218309e-05,25,NA,0.738095238095238,0.738095238095238,FALSE
"HSMR",0.000159863934300311,31,NA,0.783882783882784,0.783882783882784,FALSE
"HUPE",0.00122117454013539,50,NA,0.8998778998779,0.8998778998779,FALSE
"HUPN",0.000821365564473223,47,NA,0.884493284493284,0.884493284493284,FALSE
"IBPA",0.000770303663824881,21,NA,0.705128205128205,0.705128205128205,FALSE
"IBPB",0.000664542075830413,19,NA,0.208791208791209,0.208791208791209,TRUE
"ICLR",0.00171091456616041,24,NA,0.73003663003663,0.73003663003663,FALSE
"ICR",0.000116582274447085,25,NA,0.738095238095238,0.738095238095238,FALSE
"IDER",0.0004351973624593,41,NA,0.85042735042735,0.85042735042735,FALSE
"ILES",0.00499117592144306,64,NA,0.957142857142857,0.957142857142857,FALSE
"IMI",0.000151991161567569,3,NA,0.532600732600733,0.532600732600733,FALSE
"IMP",0.000547924759044435,30,NA,0.32967032967033,0.32967032967033,TRUE
"IND",0.000157275654462807,20,NA,0.696581196581197,0.696581196581197,FALSE
"IRFA",0.00148090867188223,49,NA,0.538461538461539,0.538461538461539,FALSE
"IRI",0.000481139777669413,41,NA,0.85042735042735,0.85042735042735,FALSE
"IRLR",0.00143402055406259,46,NA,0.879120879120879,0.879120879120879,FALSE
"IRLS",0.00315565079185864,56,NA,0.927350427350427,0.927350427350427,FALSE
"KAMB",0.00095579118261765,43,NA,0.862271062271062,0.862271062271062,FALSE
"KDEA",0.000620149999303114,46,NA,0.879120879120879,0.879120879120879,FALSE
"KDPE",0.00101077899553831,52,NA,0.90952380952381,0.90952380952381,FALSE
"KEXD",8.74418008339424e-05,26,NA,0.746031746031746,0.746031746031746,FALSE
"KGMB",0.0007777803644786,43,NA,0.862271062271062,0.862271062271062,FALSE
"KLAB",0.000959729877944402,46,NA,0.879120879120879,0.879120879120879,FALSE
"KLAC",0.00119036759720586,46,NA,0.879120879120879,0.879120879120879,FALSE
"KLUC",5.24719721077807e-05,10,NA,0.604395604395604,0.604395604395604,FALSE
"KMR",0.000679366110467471,46,NA,0.505494505494505,0.505494505494505,FALSE
"KMRA",0.000752257754609299,41,NA,0.85042735042735,0.85042735042735,FALSE
"KMTR",4.0928524430057e-05,16,NA,0.661172161172161,0.661172161172161,FALSE
"KPC",0.000404322381425933,36,NA,0.818681318681319,0.818681318681319,FALSE
"KPN",0.00174640968838824,58,NA,0.935531135531136,0.935531135531136,FALSE
"KPNF",0.000486842873079278,38,NA,0.831746031746032,0.831746031746032,FALSE
"KPNO",0.00108620921534067,34,NA,0.805128205128205,0.805128205128205,FALSE
"L1",0.00373869773286638,62,NA,0.230891330891331,0.230891330891331,TRUE
"LCR",8.12755528894559e-05,26,NA,0.746031746031746,0.746031746031746,FALSE
"LDE",7.21970750331136e-05,3,NA,0.532600732600733,0.532600732600733,FALSE
"LEN",0.00115797718734527,46,NA,0.879120879120879,0.879120879120879,FALSE
"LHK",0.00098367763628415,38,NA,0.417582417582418,0.417582417582418,TRUE
"LLMA",0.000106459696822408,26,NA,0.746031746031746,0.746031746031746,FALSE
"LMRB",0.000322490640302504,8,NA,0.584493284493284,0.584493284493284,FALSE
"LMRC",0.00176474490096952,52,NA,0.571428571428571,0.571428571428571,FALSE
"LMRD",0.000419957278796323,12,NA,0.623809523809524,0.623809523809524,FALSE
"LMRS",6.0314012121906e-05,2,NA,0.521855921855922,0.521855921855922,FALSE
"LNUA",0.000423348023064182,15,NA,0.652014652014652,0.652014652014652,FALSE
"LNUB",1.04856975085983e-05,1,NA,NA,NA,FALSE
"LNUC",0.00022591246056738,6,NA,0.564102564102564,0.564102564102564,FALSE
"LNUF",0.000105520017919764,18,NA,0.679120879120879,0.679120879120879,FALSE
"LPDT",0.0064751803575669,44,NA,0.868009768009768,0.868009768009768,FALSE
"LPEA",2.38115081018657e-05,1,NA,NA,NA,FALSE
"LPEB",0.000111721164770884,24,NA,0.73003663003663,0.73003663003663,FALSE
