"","AMC10","AMC1","AMC21","AMC22","AMC23","AMC24","AMC25","AMC26","AMC27","AMC28","AMC29","AMC2","AMC30","AMC31","AMC32","AMC33","AMC34","AMC35","AMC36","AMC37","AMC38","AMC39","AMC3","AMC40","AMC41","AMC42","AMC43","AMC44","AMC45","AMC46","AMC47","AMC48","AMC49","AMC4","AMC50","AMC51","AMC52","AMC53","AMC54","AMC55","AMC56","AMC57","AMC58","AMC59","AMC5","AMC60","AMC6","AMC7","AMC8","AMC91","AMC93","AMC94","AMC95","AMC96","AMC9"
"1703340",0,12,1,11,4,10,13,0,22,30,1,0,12,0,26,16,0,23,28,0,92,0,0,51,0,4,18,16,47,1,19,0,0,51,0,0,27,26,79,6,0,14,0,3,0,38,190,0,0,66,88,72,34,62,16
"1348774",0,18,0,22,11,9,18,0,40,47,0,0,28,0,24,17,0,24,29,0,141,0,0,75,0,9,16,36,45,0,29,2,0,103,0,0,14,25,116,12,0,43,0,15,0,25,254,0,0,116,130,63,69,84,34
"3016000",0,18,2,13,8,3,10,0,37,27,0,0,17,0,8,26,0,16,31,0,86,0,0,74,0,2,12,31,46,0,11,0,1,75,1,0,6,13,92,20,0,22,0,3,0,41,203,0,0,77,66,60,29,37,15
"1679497",0,51,0,45,20,26,72,0,100,97,0,0,69,0,90,58,0,79,109,1,278,0,0,195,0,26,74,100,139,0,76,0,0,180,0,0,62,68,225,55,0,68,0,22,0,150,680,0,0,286,303,191,126,224,80
"3015177",0,24,0,19,14,4,22,0,52,27,0,0,8,0,14,23,0,36,28,2,99,0,0,60,0,4,14,39,63,0,17,0,0,77,0,0,19,15,105,10,0,25,0,6,0,79,220,0,0,138,130,82,39,44,22
"2903901",0,16,2,19,12,3,7,0,52,13,0,0,11,0,5,21,0,28,25,0,74,0,0,43,0,6,22,27,56,0,14,0,0,65,0,0,11,13,91,9,0,14,0,3,0,47,192,0,0,85,87,58,50,53,28
"2768161",0,32,1,39,10,3,18,0,62,40,0,0,32,2,19,19,0,34,25,0,143,0,0,108,2,3,23,43,60,0,29,0,0,117,0,0,16,27,113,15,0,21,0,10,0,92,267,0,0,107,136,77,58,57,31
"62140",0,21,0,26,9,0,17,0,43,34,0,0,8,0,11,11,0,33,13,0,95,0,0,48,0,7,26,7,43,0,4,0,0,66,0,0,13,23,153,19,0,26,0,8,0,43,240,0,0,112,114,49,47,30,16
"2781901",0,12,0,15,6,4,7,0,28,33,0,0,10,1,14,14,0,19,22,0,92,0,0,60,1,4,20,21,43,0,13,0,0,82,0,0,20,17,80,8,0,12,0,2,0,46,200,0,0,100,113,49,38,40,24
"1226968",0,23,0,21,5,2,13,1,34,19,0,0,16,0,7,17,0,22,26,2,84,0,0,54,0,5,13,27,36,0,10,0,0,95,0,0,7,13,83,6,0,15,0,4,0,48,153,0,0,71,91,43,32,45,23
