"","freq","prev","p.freq","p.prev","p","contaminant"
"488729",1.00140596781108e-05,41,NA,0.85042735042735,0.85042735042735,FALSE
"430531",7.74021459652963e-05,17,NA,0.67020757020757,0.67020757020757,TRUE
"2878151",6.07301792298281e-06,34,NA,0.805128205128205,0.805128205128205,FALSE
"2814653",6.09956255457277e-06,32,NA,0.791086691086691,0.791086691086691,TRUE
"2081052",2.61224494388288e-06,8,NA,0.584493284493284,0.584493284493284,TRUE
"2864217",6.89232200806687e-08,2,NA,0.521855921855922,0.521855921855922,TRUE
"1920191",3.27649750300217e-06,20,NA,0.696581196581197,0.696581196581197,TRUE
"2282475",1.18712546148401e-05,36,NA,0.818681318681319,0.818681318681319,FALSE
"321983",1.604325086731e-05,31,NA,0.340659340659341,0.340659340659341,TRUE
"2861284",9.42070768751006e-06,37,NA,0.825274725274725,0.825274725274725,FALSE
"1537274",7.82316369224832e-06,28,NA,0.761538461538461,0.761538461538461,TRUE
"368607",1.35720269079275e-05,35,NA,0.811965811965812,0.811965811965812,FALSE
"59405",1.74058042678599e-05,44,NA,0.868009768009768,0.868009768009768,FALSE
"2184083",8.14190892019631e-06,40,NA,0.844322344322344,0.844322344322344,FALSE
"2231055",2.30204290988242e-06,23,NA,0.721855921855922,0.721855921855922,TRUE
"1192162",1.35074270830052e-05,38,NA,0.831746031746032,0.831746031746032,FALSE
"1737446",3.36424875114029e-06,31,NA,0.783882783882784,0.783882783882784,TRUE
"492",1.61569239374716e-05,30,NA,0.776556776556776,0.776556776556776,TRUE
"1689272",1.46337114818805e-05,12,NA,0.623809523809524,0.623809523809524,TRUE
"1282863",1.11303109029958e-05,35,NA,0.811965811965812,0.811965811965812,FALSE
"2559597",2.77832610509649e-06,12,NA,0.623809523809524,0.623809523809524,TRUE
"916",5.72197418950172e-06,36,NA,0.818681318681319,0.818681318681319,FALSE
"1231",4.61443329820858e-06,25,NA,0.274725274725275,0.274725274725275,TRUE
"2715678",8.54883990316985e-06,38,NA,0.831746031746032,0.831746031746032,FALSE
"405",1.11047539979381e-06,22,NA,0.713553113553114,0.713553113553114,TRUE
"2920387",1.08887346597715e-05,35,NA,0.811965811965812,0.811965811965812,FALSE
"2811422",1.30990677867074e-05,45,NA,0.873626373626374,0.873626373626374,FALSE
"3048583",6.17358006983775e-06,35,NA,0.811965811965812,0.811965811965812,FALSE
"2749807",3.3883561933671e-07,2,NA,0.521855921855922,0.521855921855922,TRUE
"2052956",8.29550589250852e-06,29,NA,0.769108669108669,0.769108669108669,TRUE
